"","Datum","Factuurnr.","Taak","Eind","Resource"
"474",2018-03-16,"I1800264","Inkoopfactuur <= 5.000",2018-03-20 08:48:22,"abdc6e9dade886e0d35ceab9951ebeda"
"475",2018-03-16,"I1800264","Beoordelen inkoopfactuur",2018-03-20 11:53:19,"3f309e071cff9027995b0b80691d6369"
"476",2018-03-22,"I1800299","Inkoopfactuur <= 5.000",2018-03-29 15:58:11,"abdc6e9dade886e0d35ceab9951ebeda"
"477",2018-03-22,"I1800299","Beoordelen inkoopfactuur",2018-04-03 10:32:38,"2bdc2f5d286fc7d297896e561064a593"
"478",2018-03-22,"I1800299","Accorderen inkoopfactuur",2018-04-05 12:46:30,"3f309e071cff9027995b0b80691d6369"
"479",2018-03-30,"I1800304","Beoordelen inkoopfactuur",2018-04-09 13:56:35,"2bdc2f5d286fc7d297896e561064a593"
"480",2018-03-31,"I1800329","Beoordelen inkoopfactuur",2018-04-09 14:10:00,"2bdc2f5d286fc7d297896e561064a593"
"481",2018-03-30,"I1800304","Accorderen inkoopfactuur",2018-04-09 14:50:39,"3f309e071cff9027995b0b80691d6369"
"482",2018-03-31,"I1800329","Accorderen inkoopfactuur",2018-04-09 14:51:22,"3f309e071cff9027995b0b80691d6369"
"483",2018-03-30,"I1800304","Inkoopfactuur <= 5.000",2018-04-09 07:58:46,"abdc6e9dade886e0d35ceab9951ebeda"
"484",2018-03-31,"I1800329","Inkoopfactuur <= 5.000",2018-04-09 08:31:38,"abdc6e9dade886e0d35ceab9951ebeda"
"485",2018-04-01,"I1800287","Beoordelen inkoopfactuur",2018-04-05 12:49:22,"3f309e071cff9027995b0b80691d6369"
"486",2018-04-01,"I1800287","Accorderen inkoopfactuur",2018-04-05 12:49:33,"3f309e071cff9027995b0b80691d6369"
"487",2018-03-31,"I1800310","Inkoopfactuur <= 5.000",2018-04-09 08:08:36,"abdc6e9dade886e0d35ceab9951ebeda"
"488",2018-03-31,"I1800310","Beoordelen inkoopfactuur",2018-04-09 14:54:50,"3f309e071cff9027995b0b80691d6369"
"489",2018-03-31,"I1800310","Accorderen inkoopfactuur",2018-04-09 14:54:56,"3f309e071cff9027995b0b80691d6369"
"490",2018-03-01,"I1800216","Inkoopfactuur <= 5.000",2018-03-06 16:25:32,"abdc6e9dade886e0d35ceab9951ebeda"
"491",2018-03-01,"I1800216","Beoordelen inkoopfactuur",2018-03-08 11:12:35,"3f309e071cff9027995b0b80691d6369"
"492",2018-03-01,"I1800216","Accorderen inkoopfactuur",2018-03-08 11:12:41,"3f309e071cff9027995b0b80691d6369"
"493",2018-04-01,"I1800287","Inkoopfactuur <= 5.000",2018-03-29 14:59:00,"abdc6e9dade886e0d35ceab9951ebeda"
"494",2018-03-02,"I1800227","Inkoopfactuur <= 5.000",2018-03-08 10:02:40,"abdc6e9dade886e0d35ceab9951ebeda"
"495",2018-03-02,"I1800227","Beoordelen inkoopfactuur",2018-03-12 11:19:21,"99fcb711c97118db437f1ee4296b83e9"
"496",2018-03-02,"I1800227","Accorderen inkoopfactuur",2018-03-13 11:11:07,"3f309e071cff9027995b0b80691d6369"
"497",2018-02-28,"I1800215","Inkoopfactuur <= 5.000",2018-03-06 16:13:58,"abdc6e9dade886e0d35ceab9951ebeda"
"498",2018-02-28,"I1800215","Beoordelen inkoopfactuur",2018-03-08 11:17:00,"3f309e071cff9027995b0b80691d6369"
"499",2018-02-28,"I1800215","Beoordelen inkoopfactuur",2018-03-15 11:46:10,"abdc6e9dade886e0d35ceab9951ebeda"
"500",2018-02-28,"I1800215","Beoordelen inkoopfactuur",2018-03-18 16:24:30,"3f309e071cff9027995b0b80691d6369"
"501",2018-02-28,"I1800215","Accorderen inkoopfactuur",2018-03-18 16:24:35,"3f309e071cff9027995b0b80691d6369"
"502",2018-04-13,"I1800359","Inkoopfactuur <= 5.000",2018-04-16 12:42:51,"abdc6e9dade886e0d35ceab9951ebeda"
"503",2018-04-13,"I1800359","Beoordelen inkoopfactuur",2018-04-20 10:06:23,"069977ecdbde0594726360323a821cda"
"504",2018-04-13,"I1800359","Accorderen inkoopfactuur",2018-04-30 10:41:30,"3f309e071cff9027995b0b80691d6369"
"505",2018-02-22,"I1800229","Inkoopfactuur <= 5.000",2018-03-08 10:07:06,"abdc6e9dade886e0d35ceab9951ebeda"
"506",2018-02-22,"I1800229","Beoordelen inkoopfactuur",2018-03-12 11:19:37,"99fcb711c97118db437f1ee4296b83e9"
"507",2018-02-22,"I1800229","Accorderen inkoopfactuur",2018-03-13 11:08:17,"3f309e071cff9027995b0b80691d6369"
