"","Datum","Factuurnr.","Taak","Eind","Resource"
"314",2018-03-01,"I1800255","Inkoopfactuur <= 5.000",2018-03-20 08:16:55,"abdc6e9dade886e0d35ceab9951ebeda"
"315",2018-03-01,"I1800255","Beoordelen inkoopfactuur",2018-03-20 11:52:48,"3f309e071cff9027995b0b80691d6369"
"316",2018-03-01,"I1800255","Accorderen inkoopfactuur",2018-03-20 11:52:54,"3f309e071cff9027995b0b80691d6369"
"317",2018-02-26,"I1800208","Inkoopfactuur <= 5.000",2018-03-04 09:43:15,"abdc6e9dade886e0d35ceab9951ebeda"
"318",2018-02-26,"I1800208","Beoordelen inkoopfactuur",2018-03-06 06:12:43,"3f309e071cff9027995b0b80691d6369"
"319",2018-02-26,"I1800208","Accorderen inkoopfactuur",2018-03-06 06:13:05,"3f309e071cff9027995b0b80691d6369"
"320",2018-02-26,"I1800220","Inkoopfactuur <= 5.000",2018-03-08 08:34:27,"abdc6e9dade886e0d35ceab9951ebeda"
"321",2018-02-26,"I1800220","Beoordelen inkoopfactuur",2018-03-08 11:14:12,"3f309e071cff9027995b0b80691d6369"
"322",2018-02-26,"I1800220","Accorderen inkoopfactuur",2018-03-08 11:14:17,"3f309e071cff9027995b0b80691d6369"
"323",2018-03-15,"I1800272","Inkoopfactuur <= 5.000",2018-03-20 09:48:57,"abdc6e9dade886e0d35ceab9951ebeda"
"324",2018-03-15,"I1800272","Beoordelen inkoopfactuur",2018-03-29 08:03:21,"abdc6e9dade886e0d35ceab9951ebeda"
"325",2018-03-15,"I1800272","Accorderen inkoopfactuur",2018-03-29 08:03:48,"abdc6e9dade886e0d35ceab9951ebeda"
"326",2018-03-15,"I1800272","Accorderen inkoopfactuur",2018-03-29 21:17:53,"99fcb711c97118db437f1ee4296b83e9"
"327",2018-03-15,"I1800272","Accorderen inkoopfactuur",2018-04-05 12:52:27,"3f309e071cff9027995b0b80691d6369"
"328",2018-03-15,"I1800267","Inkoopfactuur <= 5.000",2018-03-20 08:56:37,"abdc6e9dade886e0d35ceab9951ebeda"
"329",2018-03-15,"I1800267","Beoordelen inkoopfactuur",2018-04-03 09:42:27,"a216d47a59899311f48cfe17ad176b09"
"330",2018-03-15,"I1800267","Beoordelen inkoopfactuur",2018-04-03 09:46:19,"ce89fe3400440ded691ebea966fbf59a"
"331",2018-03-15,"I1800267","Accorderen inkoopfactuur",2018-04-05 12:38:59,"3f309e071cff9027995b0b80691d6369"
"332",2018-03-15,"I1800267","Accorderen inkoopfactuur",2018-04-09 13:56:20,"2bdc2f5d286fc7d297896e561064a593"
"333",2018-03-15,"I1800267","Accorderen inkoopfactuur",2018-04-09 14:49:27,"3f309e071cff9027995b0b80691d6369"
"334",2018-03-08,"I1800226","Inkoopfactuur <= 5.000",2018-03-08 10:01:08,"abdc6e9dade886e0d35ceab9951ebeda"
"335",2018-03-08,"I1800226","Beoordelen inkoopfactuur",2018-03-12 17:44:19,"077105d56ec3db5318815244824f663b"
"336",2018-03-08,"I1800226","Accorderen inkoopfactuur",2018-03-13 11:09:03,"3f309e071cff9027995b0b80691d6369"
"337",2018-04-04,"I1800323","Inkoopfactuur <= 5.000",2018-04-09 08:24:24,"abdc6e9dade886e0d35ceab9951ebeda"
"338",2018-04-04,"I1800323","Beoordelen inkoopfactuur",2018-04-09 14:56:50,"3f309e071cff9027995b0b80691d6369"
"339",2018-04-04,"I1800323","Accorderen inkoopfactuur",2018-04-09 14:56:54,"3f309e071cff9027995b0b80691d6369"
"340",2018-04-03,"I1800314","Inkoopfactuur <= 5.000",2018-04-09 08:13:10,"abdc6e9dade886e0d35ceab9951ebeda"
"341",2018-04-03,"I1800314","Beoordelen inkoopfactuur",2018-04-09 14:55:44,"3f309e071cff9027995b0b80691d6369"
"342",2018-04-03,"I1800314","Accorderen inkoopfactuur",2018-04-09 14:55:52,"3f309e071cff9027995b0b80691d6369"
"343",2018-03-16,"I1800256","Inkoopfactuur <= 5.000",2018-03-20 08:21:01,"abdc6e9dade886e0d35ceab9951ebeda"
